no.,nama_bahan,class
1,Beras,serealia
2,Jagung,serealia
3,Jali,serealia
4,Jawawut,serealia
5,Jampang huma,serealia
6,Daging sapi,daging
7,Daging angsa,daging
8,Daging Ayam,daging
9,Darah ayam,daging
10,Hati ayam,daging
11,Daging babi,daging
12,Ginjal babi,daging
13,Hati babi,daging
14,Daging itik,daging
15,Daging belibis,daging
16,Sarang burung,daging
17,Daging domba,daging
18,Ginjal domba,daging
19,Daging kambing,daging
20,Daging kelinci,daging
21,Daging kerbau,daging
22,Daging kuda,daging
23,Babat sapi,daging
24,Delaman ayam,daging
25,Darah sapi,daging
26,Ginjal sapi,daging
27,Keleponan sapi,daging
28,Hati sapi,daging
29,Otak sapi,daging
30,Usus sapi,daging
31,Ulat sagu,daging
32,Daging buaya,daging
33,Daging Menjangan,daging
34,Daging penyu,daging
35,Telur ayam kampung,telur
36,Telur ayam ras,telur
37,Putih telur ayam,telur
38,Kuning telur ayam,telur
39,Telur bebek alabio,telur
40,Kuning telur bebek,telur
41,Putih telur bebek,telur
42,Telur bebek tambak,telur
43,Telur burung maleo,telur
44,Telur penyu,telur
45,Telur burung puyuh,telur
46,Arrowroot,ubi
47,Batatas gembili,ubi
48,Batatas kelapa,ubi
49,Talas,ubi
50,Bengkuang,ubi
51,Gadung kering,ubi
52,Gadung,ubi
53,Ganyong,ubi
54,Gembili,ubi
55,Ubi hutan,ubi
56,Kaburan,ubi
57,Kentang,ubi
58,Kentang hitam,ubi
59,Keribang,ubi
60,singkong,ubi
61,Ubi rumput,ubi
62,Sagu aren kering,ubi
63,Sagu aren,ubi
64,Sagu kasbi,ubi
65,Sagu lempeng,ubi
66,Sagu singkong kering,ubi
67,Sente,ubi
68,Suweg,ubi
69,Talas bogor,ubi
70,Talas pontianak,ubi
71,Talas viqueque,ubi
72,Ubi jalar kuning,ubi
73,Ubi jalar manis,ubi
74,Ubi jalar merah,ubi
75,Ubi jalar putih,ubi
76,Ubi jalar tinta,ubi
77,Umbi Uwi,ubi
78,Krim,susu
79,Susu ibu - ASI,susu
80,Susu kambing,susu
81,Susu kerbau,susu
82,Susu kuda,susu
83,Susu sapi,susu
84,Akar tonjong,sayur
85,Ale toge,sayur
86,Andaliman,sayur
87,Andewi,sayur
88,Bakung,sayur
89,Baligo,sayur
90,Bawang bombay,sayur
91,Bayam,sayur
92,Bayam merah,sayur
93,Bit,sayur
94,Buah kelor,sayur
95,Buah merah,sayur
96,Buncis,sayur
97,Bunga pepaya,sayur
98,Bunga turi,sayur
99,Caisin,sayur
100,Daun bangun-bangun,sayur
101,Daun bawang merah,sayur
102,Daun bebuas,sayur
103,Daun belem,sayur
104,Daun bluntas,sayur
105,Daun gandaria,sayur
106,Daun gedi besar,sayur
107,Daun gedi kecil,sayur
108,Daun gelang,sayur
109,Daun gunda bali,sayur
110,Daun gunda serang,sayur
111,Daun jambu mete muda,sayur
112,Daun jampang,sayur
113,Daun jawaw seluang,sayur
114,Daun jonghe,sayur
115,Daun kacang ma,sayur
116,Daun kacang panjang,sayur
117,Daun singkong,sayur
118,karet,sayur
119,Daun katuk,sayur
120,Daun kecipir,sayur
121,Daun kedondong,sayur
122,Daun kelor,sayur
123,Daun kemang,sayur
124,Daun kenikir,sayur
125,Daun kesum,sayur
126,Daun kol sawi,sayur
127,Daun koro,sayur
128,Daun kubis,sayur
129,Daun kumak,sayur
130,Daun labu siam,sayur
131,Daun labu,sayur
132,waluh/kuning,sayur
133,Daun lamtoro,sayur
134,Daun leilem,sayur
135,Daun leunca,sayur
136,Daun lobak,sayur
137,Daun lompong talas,sayur
138,Daun mangkokan,sayur
139,Daun matel ambon,sayur
140,Daun melinjo,sayur
141,Daun mengkudu,sayur
142,Daun ndusuk,sayur
143,Daun oyong,sayur
144,Daun pakis,sayur
145,Daun pakis longgiho,sayur
146,Daun pakis,sayur
147,wambateu,sayur
148,Daun paku,sayur
149,Daun pangi,sayur
150,Daun pare,sayur
151,Daun pepaya,sayur
152,Daun pohpohan,sayur
153,Daun selasih,sayur
154,Daun semanggi,sayur
155,Daun simpur,sayur
156,Daun singkil,sayur
157,Daun singkong,sayur
158,Daun singkong ambon,sayur
159,Daun singkong ampenan,sayur
160,Daun singkong kopang,sayur
161,Daun sintrong,sayur
162,Daun talas,sayur
163,Daun tespong,sayur
164,Daun ubi kuning,sayur
165,Daun ubi merah,sayur
166,Daun ubi putih,sayur
167,Daun ubi tinta,sayur
168,Eceng,sayur
169,Gambas (oyong),sayur
170,Genjer,sayur
171,Jagung muda / semi,sayur
172,Jamur encik,sayur
173,Jamur kuping,sayur
174,Jamur kuping,sayur
175,Jamur merang,sayur
176,Jamur tiram,sayur
177,Jamur sagu,sayur
178,Jantung pisang,sayur
179,Jengkol,sayur
180,Jotang,sayur
181,Kabau,sayur
182,Kacang mekah,sayur
183,polong,sayur
184,Kacang panjang,sayur
185,Kacang ranti polong,sayur
186,Kalakai,sayur
187,Kangkung,sayur
188,Kangkung tondano,sayur
189,Kapri muda,sayur
190,Karawila,sayur
191,Kecipir muda,sayur
192,Kecombrang,sayur
193,Kelawi,sayur
194,Kembang turi,sayur
195,Kerokot,sayur
196,Ketimun,sayur
197,Ketimun krai,sayur
198,Ketimun madura,sayur
199,Komak,sayur
200,Kool kembang,sayur
201,Kool putih,sayur
202,Kool merah,sayur
203,Koro kerupuk,sayur
204,Koro wedus,sayur
205,Kucai,sayur
206,Kucai muda (Lokio),sayur
207,Kulit melinjo,sayur
208,Kundur,sayur
209,Labu air,sayur
210,Labu kuning,sayur
211,Labu siam,sayur
212,Labu waluh,sayur
213,Lantar,sayur
