no.,menu_makanan,bahan_makanan,air (ml),energi (kal),protein,lemak_total,karbohidrat,serat,kalsium,fosfor,zat_besi,natrium,kalium,tembaga,seng,vit_c,price (100 gr),rasa,meal_time,kategori_gizi
1,Nasi,Beras,56.7,180,3000,300,39800.0,200,25,27.0,0.4,1,38.0,0.1,0.6,0.0,4000,tawar,"dinner, lunch",makronutrien tinggi
2,Nasi tim,Beras,71.0,120,2400,400,26000.0,500,3,7.0,0.4,0,23.9,0.1,0.4,0.0,4000,tawar,"dinner, lunch",gizi sedang/rendah
3,Bihun goreng instan,"Tepung beras, tapioka",9.0,381,6100,3900,80300.0,1000,266,151.0,2.9,928,50.0,0.15,0.8,0.0,5000,gurih,"breakfast, dinner, lunch",mineral tinggi
4,Jagung muda rebus,Jagung muda,53.2,142,5000,700,30300.0,800,5,105.0,0.8,5,24.3,0.2,0.9,0.0,3500,manis,"breakfast, dinner, lunch",makronutrien tinggi
5,Makaroni,Tepung terigu,11.7,353,8700,400,78700.0,4900,20,80.0,0.3,5,0.0,0.28,1.4,0.0,4500,tawar,"breakfast, dinner, lunch",makronutrien tinggi
6,Mi basah,Tepung terigu,80.0,88,600,3300,14000.0,100,14,13.0,6.8,63,13.5,0.06,0.4,0.0,4000,tawar,"dinner, lunch",gizi sedang/rendah
7,Mi kering,Tepung terigu,10.6,339,10000,1700,6300.0,400,31,143.0,3.9,760,83.0,0.29,1.9,0.0,5000,tawar,"dinner, lunch",mineral tinggi
8,Misoa,Tepung terigu,10.0,345,8500,2200,78000.0,500,52,120.0,8.7,3064,44.0,0.08,0.0,0.0,5000,tawar,"breakfast, dinner, lunch",mineral tinggi
9,Roti putih,"Tepung terigu, ragi",40.0,248,8000,1200,50000.0,9100,10,95.0,1.5,530,91.0,0.15,0.9,0.0,6000,tawar,breakfast,mineral tinggi
10,Tepung terigu,Gandum,11.8,333,9000,1000,77200.0,300,22,150.0,1.3,2,0.0,0.0,2.8,0.0,7000,tawar,"breakfast, dinner, lunch",makronutrien tinggi
11,Amparan tatak,"Tepung beras, santan",58.4,191,1300,5500,34000.0,1000,20,50.0,0.5,5,30.0,0.1,0.5,0.0,4000,manis,"breakfast, dinner, lunch",makronutrien tinggi
12,Apang kukus,Tepung beras,49.5,202,3000,300,46700.0,1000,20,50.0,0.5,5,30.0,0.1,0.5,0.0,4000,manis,"breakfast, dinner, lunch",makronutrien tinggi
13,Apem kue,"Tepung beras, tape",63.1,148,2000,500,33900.0,1000,20,50.0,0.5,5,30.0,0.1,0.5,0.0,4000,manis,breakfast,makronutrien tinggi
14,Biskuit,"Tepung terigu, gula",2.2,458,6900,14400,75100.0,2100,62,87.0,2.7,241,20.3,0.16,0.6,0.0,8000,manis,"breakfast, dinner, lunch",mineral tinggi
15,Bakpia,"Tepung terigu, kacang hijau",38.9,272,8700,6700,44100.0,900,194,117.0,4.5,50,40.0,0.15,0.7,0.0,7000,manis,"breakfast, dinner, lunch",mineral tinggi
16,Bakwan,"Tepung terigu, sayuran",40.5,280,8200,10200,39000.0,3400,204,79.0,7.0,50,40.0,0.15,0.7,0.0,6000,gurih,"breakfast, dinner, lunch",mineral tinggi
17,Bantal,"Tepung ketan, santan",52.3,190,3300,300,43500.0,3400,9,0.0,0.4,164,84.0,0.2,0.9,0.0,4000,manis,"breakfast, dinner, lunch",makronutrien tinggi
18,Baruasa,"Tepung beras, kelapa",5.3,417,6500,8200,79300.0,1000,20,50.0,0.5,5,30.0,0.1,0.5,0.0,6000,manis,"breakfast, dinner, lunch",makronutrien tinggi
19,Batar daan,"Beras, kelapa parut",75.3,107,2200,2200,19600.0,1000,20,30.0,0.6,200,90.0,0.1,0.5,0.0,3500,gurih,"breakfast, dinner, lunch",gizi sedang/rendah
20,Bika ambon,"Tepung sagu, telur",51.5,199,2100,1500,44400.0,300,45,28.0,1.8,20,20.0,0.1,0.5,0.0,6000,manis,"breakfast, dinner, lunch",makronutrien tinggi
21,Bingka,"Tepung terigu, telur",44.4,273,5300,10600,39100.0,1000,20,50.0,0.5,5,30.0,0.1,0.5,0.0,6000,manis,"breakfast, dinner, lunch",makronutrien tinggi
22,Bobengka,"Tepung beras, santan",46.3,225,5300,2600,45200.0,1000,20,50.0,0.5,5,30.0,0.1,0.5,0.0,6000,manis,"breakfast, dinner, lunch",makronutrien tinggi
23,Bolu peca,"Tepung terigu, telur",55.6,197,3300,4600,35600.0,1000,20,50.0,0.5,5,30.0,0.1,0.5,0.0,6000,manis,"breakfast, dinner, lunch",makronutrien tinggi
24,Brem,"Beras ketan, tape",37.4,249,3400,400,58000.0,0,198,86.0,2.0,20,20.0,0.1,0.5,0.0,6000,manis,"breakfast, dinner, lunch",makronutrien tinggi
25,Bubur tinotuan,"Beras, sayuran daun",80.9,156,2300,200,15600.0,8200,41,20.0,0.4,486,164.0,0.3,0.4,15.0,4000,gurih,breakfast,vitamin C tinggi
26,Cake tape,"Tepung terigu, tape",32.2,323,4900,11500,50100.0,1400,131,83.0,2.6,20,20.0,0.1,0.5,0.0,7000,manis,"breakfast, dinner, lunch",makronutrien tinggi
27,Cangkuning,"Tepung beras, telur",57.5,204,2800,7500,31400.0,1000,20,50.0,0.5,5,30.0,0.1,0.5,0.0,6000,manis,"breakfast, dinner, lunch",gizi sedang/rendah
28,Dodol bali,"Tepung ketan, gula",26.5,298,3700,2100,65900.0,400,70,76.0,2.5,15,20.0,0.1,0.5,0.0,7000,manis,"breakfast, dinner, lunch",makronutrien tinggi
29,Dodol galamai,"Tepung ketan, gula",16.5,348,400,3800,76100.0,500,41,144.0,2.6,38,76.0,0.3,2.1,0.0,7000,manis,"breakfast, dinner, lunch",makronutrien tinggi
30,Dodol kedondong,"Tepung ketan, buah kedondong",26.4,331,1900,7600,63800.0,1000,90,55.0,2.3,15,20.0,0.1,0.5,5.0,7000,manis,"breakfast, dinner, lunch",vitamin C tinggi
31,Dodol manado,"Tepung ketan, gula",26.1,373,4300,16500,51900.0,400,41,142.0,2.4,35,72.0,0.3,2.1,0.0,7000,manis,"breakfast, dinner, lunch",makronutrien tinggi
32,Emping beras,"Beras, emping",13.6,403,10600,2200,85300.0,200,11,240.0,0.3,1,113.0,0.3,2.4,0.0,7000,gurih,"breakfast, dinner, lunch",mineral tinggi
33,Gemblong,"Tepung ketan, kelapa",36.2,274,1700,5400,55500.0,2200,69,55.0,3.3,15,20.0,0.1,0.5,0.0,6000,manis,"breakfast, dinner, lunch",makronutrien tinggi
34,Gendar goreng,"Beras, kelapa",30.4,407,6400,28200,32000.0,100,216,62.0,1.6,15,20.0,0.1,0.5,0.0,7000,gurih,"breakfast, dinner, lunch",makronutrien tinggi
35,Intip goreng,Beras,6.5,474,7600,21600,62300.0,1200,36,64.0,2.5,0,38.0,0.05,0.5,0.0,7000,gurih,"breakfast, dinner, lunch",makronutrien tinggi
